Title,Year,Mileage/Km,Price,Brand
Ford Focus RS 2.3M GTDI,2016,102000,86800,Ford
Mitsubishi Outlander 2.4A Sunroof,2015,114753,31800,Mitsubishi
Audi A5 Sportback 2.0A TFSI S-tronic Design,2017,110000,100500,Audi
Mazda 5 2.0A SP Sunroof (COE till 11/2027),2007,151000,51800,Mazda
Opel Insignia Grandsport Diesel 1.6A Turbo,2018,255000,72800,Opel
Honda Vezel Hybrid 1.5A X Honda Sensing,2017,54931,70142,Honda
BMW 5 Series 523i (COE till 09/2030),2010,126000,91800,BMW
Mercedes-Benz S-Class S320L,2020,34259,273200,Mercedes-Benz
Mercedes-Benz CLA-Class CLA45 S AMG 4MATIC+ Premium Plus,2021,16220,306888,Mercedes-Benz
Mercedes-Benz C-Class C200K (COE till 03/2029),2009,155275,67800,Mercedes-Benz
BMW 1 Series 116i,2015,160000,26800,BMW
Lexus RX350L Premium 7-Seater,2018,82113,165800,Lexus
Audi A4 2.0A MU (COE till 05/2027),2007,109390,44800,Audi
Kia Cerato K3 1.6A,2018,113528,61800,Kia
Toyota Vios 1.5A E,2017,125980,52000,Toyota
SEAT Arona 1.0A EcoTSI Style,2018,113000,62800,SEAT
BMW 3 Series 318i,2018,113045,96800,BMW
Lexus IS Hybrid IS300h Executive,2018,78000,127500,Lexus
Kia Sorento Diesel 2.2A CRDi Sunroof,2017,79000,77600,Kia
Hyundai Avante 1.6A Elite Sunroof,2021,39500,116388,Hyundai
Toyota Alphard 2.5A Z,2023,3100,365800,Toyota
Audi A4 2.0A TFSI S-tronic,2018,86000,111888,Audi
Mercedes-Benz S-Class S450L Mild Hybrid,2022,12515,455800,Mercedes-Benz
Toyota Rush 1.5A (COE till 09/2027),2007,158438,44800,Toyota
Honda Vezel Hybrid 1.5A X,2016,89000,51800,Honda
Mitsubishi Lancer EX 1.5A Sports (COE till 12/2024),2009,127000,13400,Mitsubishi
Porsche 911 Carrera S Cabriolet 3.8A PDK (COE till 03/2033),2013,55999,369999,Porsche
BMW M3 Sedan Competition Package,2022,3400,525000,BMW
Toyota Wish 1.8A Elegance,2016,97862,50800,Toyota
Mitsubishi Lancer EX 1.6A,2016,59399,42800,Mitsubishi
Mercedes-Benz GLC-Class GLC250 Coupe AMG Line 4MATIC,2020,42000,206500,Mercedes-Benz
Honda Odyssey 2.4A EX-S 8-Seater,2017,83000,84888,Honda
Honda Mobilio 1.5A RS i-VTEC Luxe,2015,110495,39800,Honda
Mercedes-Benz E-Class E180 Avantgarde,2020,63130,179800,Mercedes-Benz
Volvo XC60 T5 Momentum,2018,56772,136800,Volvo
Toyota Sienta 1.5A Elegance,2021,31800,124800,Toyota
Toyota Harrier 2.0A Premium Panoramic Roof,2016,99182,55800,Toyota
Mercedes-Benz E-Class E350 CGI Coupe (COE till 04/2031),2011,127000,88800,Mercedes-Benz
Toyota Corolla Altis 1.6A,2016,93200,53500,Toyota
BMW 2 Series 216d Gran Tourer Luxury,2015,106600,49800,BMW
Subaru Forester 2.0i-L Sunroof,2016,79888,50888,Subaru
BMW 3 Series 318i M-Sport,2022,17000,212800,BMW
BMW X1 sDrive16i M-Sport,2022,6000,203800,BMW
MINI One 1.5A,2020,30800,98800,MINI
Kia Sorento Diesel 2.2A CRDi Sunroof,2018,79585,96800,Kia
Opel Grandland X 1.2A Turbo Innovation Premium,2021,35700,110800,Opel
BMW 4 Series 435i Gran Coupe M-Sport Sunroof,2015,105100,73500,BMW
Mercedes-Benz GLC-Class GLC250 4MATIC,2019,80240,169800,Mercedes-Benz
Audi TT Roadster 2.0A TFSI (COE till 09/2030),2011,137000,94800,Audi
Nissan X-Trail 2.0A 7-Seater Sunroof,2017,105000,69800,Nissan
Honda N-Van Turbo Style Fun Honda Sensing,2022,60,81000,Honda
Rolls-Royce Phantom (COE till 03/2031),2011,38000,488800,Rolls-Royce
Nissan GTR 3.8A Black Edition (COE till 02/2033),2013,35000,370000,Nissan
Mercedes-Benz CLA-Class CLA200 AMG Line Premium Plus Sunroof,2020,103000,158800,Mercedes-Benz
MINI John Cooper Works 2.0A ALL4,2019,68000,155000,MINI
Toyota Land Cruiser 4.7A (COE till 03/2028),2009,88000,82888,Toyota
Maserati Ghibli 3.0A,2014,95000,84888,Maserati
BMW 2 Series 216i Gran Coupe Sport,2022,13700,159800,BMW
Maserati GranTurismo 4.2A (COE till 08/2028),2008,75000,107800,Maserati
Mercedes-Benz A-Class A180,2015,47000,36800,Mercedes-Benz
BMW X1 sDrive18i xLine,2021,30500,159800,BMW
Mercedes-Benz GLA-Class GLA180 Urban Edition,2019,66000,108888,Mercedes-Benz
Mercedes-Benz GLC-Class GLC43 AMG 4MATIC,2017,99000,133800,Mercedes-Benz
Mercedes-Benz C-Class C180 Avantgarde,2016,93200,60999,Mercedes-Benz
BMW X3 xDrive30i M-Sport,2018,70000,139800,BMW
Porsche Panamera S 4.8A PDK (COE till 06/2030),2010,150000,135800,Porsche
Mercedes-Benz CLA-Class CLA180 Progressive,2022,19256,188800,Mercedes-Benz
Mercedes-Benz E-Class E250 CGI Coupe Sunroof (COE till 04/2031),2011,99000,98800,Mercedes-Benz
Mercedes-Benz C-Class C180K (COE till 05/2029),2009,140422,68988,Mercedes-Benz
Mercedes-Benz C-Class C180K (COE till 12/2030),2011,139000,85800,Mercedes-Benz
Kia Sorento Diesel 2.2A CRDi Sunroof,2018,75000,112000,Kia
Toyota Camry 2.0A (COE till 04/2027),2007,118000,39800,Toyota
Hyundai Elantra 1.6A GLS,2018,84039,67800,Hyundai
BMW 2 Series 216i Gran Tourer Luxury,2018,90000,99800,BMW
Mercedes-Benz A-Class Saloon A180 Progressive,2022,22830,174800,Mercedes-Benz
Mercedes-Benz B-Class B180,2015,116000,28800,Mercedes-Benz
Volkswagen New Beetle 1.6A (COE till 12/2028),2009,128787,52800,Volkswagen
Honda Fit 1.3A G F-Package,2019,50000,78800,Honda
Jaguar F-PACE 3.0A V6 Supercharged R-Sport,2017,90000,144800,Jaguar
